,form,lemma
1,Lam og piggvar på bryllupsmenyen |,lam og piggvar på bryllupsmeny $|
2,"Kamskjell , piggvar og lammefilet sto på menyen under den kongelige gallamiddagen .","kamskjell $, piggvar og lammefilet stå på meny under den kongelig gallamiddag $."
3,Og til dessert : Parfait à la Mette-Marit .,og til dessert $: Parfait à la Mette-Marit $.
4,"Forretten lyder navnet "" Coquilles St. Jacques Prince de Norvege "" , som er grillet kamskjell på norsk spekeskinke - med trøffelhonningvinaigrette , ruccolasalat og ristede gresskarkjerner .","forrett lyde navn $"" Coquilles St. Jacques Prince de Norvege $"" $, som være grille kamskjell på norsk spekeskinke $- med trøffelhonningvinaigrette $, ruccolasalat og riste gresskarkjerne $."
5,"Deretter fulgte "" Turbot au Four - purée de chou-fleur "" .","deretter følge $"" Turbot au Four $- purée de chou-fleur $"" $."
6,"Det er ovnsbakt piggvar dandert med ingefærmarinert klasetomatbåter , blomkålpuré drysset med finhakket gressløk , og fransk smørsaus med appelsin og fenikkelsmak .","det være ovnsbake piggvar dandere med ingefærmarinere klasetomatbåt $, blomkålpuré drysse med finhakke gressløk $, og fransk smørsaus med appelsin og fenikkelsmak $."
7,"Hovedretten er "" Filet d'agneau - girolles a la creme "" :","hovedrett være $"" Filet d'agneau $- girolles a la creme $"" $:"
8,"Ytrefilet av norsk lam , kremet kantareller i nepe , bakt minisquash , lettrøkte rødbeter , rissolepoteter og rosmarinsjy .","ytrefilet av norsk lam $, kremet kantarell i nepe $, bake minisquash $, lettrøkt rødbete $, rissolepotet og rosmarinsjy $."
9,"Og desserten , "" Parfait à la Mette-Marit - coulis de muron arctique "" består av Snøfrisk og yoghurtisparfait med friske norske bringebær , blåbær og bjørnebær , samt multemousse på multecoulis .","og dessert $, $"" Parfait à la Mette-Marit $- coulis de muron arctique $"" bestå av Snøfrisk og yoghurtisparfait med frisk norsk bringebær $, blåbær og bjørnebær $, samt multemousse på multecoulis $."
10,Benket til bryllupsmiddag |,benke til bryllupsmiddag $|
11,"Litt forsinket , klokken 20.25 , satte bryllupsgjestene seg til bords for å nyte gallamiddagen på Slottet .","litt forsinke $, klokke 20.25 $, sette bryllupsgjest seg til bord for å nyte gallamiddag på Slottet $."
12,"I galla og utsøkte festantrekk kom de til bryllupsmiddagen , kongelige , presidenter , familiemedlemmer , venner og representanter for regjering , storting og viktige norske institusjoner .","i galla og utsøkt festantrekk komme de til bryllupsmiddag $, kongelig $, president $, familiemedlem $, venn og representant for regjering $, storting og viktig norsk institusjon $."
13,"De ble ønsket velkommen av dronning Sonja , kong Harald , kronprins Haakon og kronprinsesse Mette-Marit .","de bli ønske velkommen av dronning Sonja $, kong Harald $, kronprins Haakon og kronprinsesse Mette-Marit $."
14,Det kongelige bryllup er i høy grad også en privat begivenhet .,det kongelig bryllup være i høy grad også en privat begivenhet $.
15,Det viste prosesjonen til gallamiddagen på Slottet og plasseringen ved hovedbordet .,det vise prosesjon til gallamiddag på Slottet og plassering ved hovedbord $.
